function_name,category,recommendation,total_storage_mb,version_count,latest_version_size_mb,invocations_30d,invocations_7d,runtime,last_modified,owner,contact,repo,team,environment,region
fs-bulk-update-tax-periods-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 101 versions. Keep only recent versions.,4021.75,101,40.29,25,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-learner-spend-report-email-staging,UNUSED,DELETE - No invocations in 30 days. Has 101 versions consuming storage.,4021.75,101,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-authenticate-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 101 versions. Keep only recent versions.,4021.75,101,40.29,224201,64327,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-list-adjustments-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 101 versions. Keep only recent versions.,4021.75,101,40.29,1308,500,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-update-employer-paid-on-staging,UNUSED,DELETE - No invocations in 30 days. Has 101 versions consuming storage.,4021.75,101,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-check-learner-spend-report-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 101 versions. Keep only recent versions.,4021.75,101,40.29,83,38,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-get-benefit-periods-by-employer-id-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,82,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-bulk-update-benefit-periods-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,25,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-update-tax-eligible-staging,UNUSED,DELETE - No invocations in 30 days. Has 100 versions consuming storage.,3981.45,100,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-create-tax-period-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,8,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-get-learner-spend-report-url-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,20,13,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-get-adjustment-file-upload-url-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,4,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,1203143,277094,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-list-learner-spend-reports-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,222,117,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-create-benefit-period-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,8,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-update-custom-benefit-configuration-staging,UNUSED,DELETE - No invocations in 30 days. Has 100 versions consuming storage.,3981.45,100,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-bulk-create-custom-benefit-configurations-staging,UNUSED,DELETE - No invocations in 30 days. Has 100 versions consuming storage.,3981.45,100,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-create-custom-benefit-configuration-staging,UNUSED,DELETE - No invocations in 30 days. Has 100 versions consuming storage.,3981.45,100,40.29,0,0,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-bulk-get-student-spend-by-program-id-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,220554,63063,nodejs20.x,2025-12-09T14:17:10.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
fs-get-student-spend-staging,VERSION_BLOAT,CLEANUP_VERSIONS - Has 100 versions. Keep only recent versions.,3981.45,100,40.29,12642,3374,nodejs20.x,2025-12-09T16:10:30.000+0000,funding-service,squad-funding-service,GuildEducationInc/funding-service,N/A,N/A,us-west-2
