Report Type,RDS Extended Support Check
Generated,2025-12-11 09:24:58
Total Extended Support Instances,74
Total Upcoming Extended Support Instances (within 30 days),0

Environment,Instance ID,Engine,Version,Instance Class,Instance Status,Support Status,Support End Date
DEV,academic-partner-service-clusterinstance1bd35945f-6dn5alr7aws8,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,academic-partner-service-clusterinstance2945b1c47-regwtlqkcptg,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,applicant-transfer-service-db-dev-1,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
DEV,applicant-transfer-service-db-dev-2,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
DEV,c4t-prototyping-dev-reader,aurora-postgresql,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,c4t-prototyping-dev-writer,aurora-postgresql,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,cdp-prototyping-dev-reader,aurora-postgresql,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,cdp-prototyping-dev-writer,aurora-postgresql,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,comms-subscriptions-aurora-pg-cluster-dev-instance-a,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,comms-subscriptions-aurora-pg-cluster-test-dev-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,data-infrastructure-scratch-database-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,employee-profile-service-db-1,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
DEV,employee-profile-service-db-2,aurora-postgresql,13.20,db.r5.xlarge,available,In Extended Support,2025-11-13
DEV,epportalrdsonboarding-serverlessrdsclusterf408865e-n-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,fivetran-test-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,gpt1x7q2emta1v,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,guilddataproductintegrati-serverlessv1cluster04019-z-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,guild-export-service-rds-instance-pssqldbinstance-rewyiwti2zmu,postgres,12.22,db.t3.medium,available,In Extended Support,2024-11-14
DEV,model-m-academic-aurora-pg-cluster-development-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,model-m-academic-aurora-pg-cluster-stage-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,model-m-development-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,model-m-development-2,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,nc-walmart-event-consumer-service-aurora-pg-cluster-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,pathway-service-aurora-pg-cluster-dev-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,pcs-db-serverless-v2-serverlessv2instance-cnuggafzawiq,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,platform-eligibility-db-dev-instance-a,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,sample-serverless-app-aurora-pg-cluster-development-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,sample-serverless-service-aurora-pg-cluster-developm-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,tonic-metadata-database-pre-migration-cluster-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,tonic-metadata-database-serverless-v2,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,tonic-poc-destination-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,transaction-service-development,aurora-postgresql,12.22,db.r4.large,available,In Extended Support,2024-11-14
DEV,tuition-assistance-tao-tonic-playground-database-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,upgrade-test-db-cluster-instance-1,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
DEV,user-profile-service-development,aurora-postgresql,11.21,db.r5.large,available,In Extended Support,2023-11-09
STAGE,academic-partner-service-clusterinstance1bd35945f-wmlikxdszuux,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
STAGE,academic-partner-service-clusterinstance2945b1c47-tlwt4gkgrkcx,aurora-postgresql,13.20,db.serverless,available,In Extended Support,2025-11-13
