Report Type,RDS Extended Support Check
Generated,2025-12-11 09:50:17
Total Extended Support Instances,109
Total Upcoming Extended Support Instances (within 30 days),0
Estimated Monthly Cost,"$22,630.00"
Estimated Annual Cost,"$271,560.00"

Environment,Instance ID,Engine,Version,Instance Class,vCPUs,Instance Status,Support Status,Support End Date,Support Year,Monthly Cost (USD)
DEV,academic-partner-service-clusterinstance1bd35945f-6dn5alr7aws8,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,academic-partner-service-clusterinstance2945b1c47-regwtlqkcptg,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,applicant-transfer-service-db-dev-1,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
DEV,applicant-transfer-service-db-dev-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
DEV,c4t-prototyping-dev-reader,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,c4t-prototyping-dev-writer,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,cdp-prototyping-dev-reader,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,cdp-prototyping-dev-writer,aurora-postgresql,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,comms-subscriptions-aurora-pg-cluster-dev-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,comms-subscriptions-aurora-pg-cluster-test-dev-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,data-infrastructure-scratch-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,employee-profile-service-db-1,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
DEV,employee-profile-service-db-2,aurora-postgresql,13.20,db.r5.xlarge,4,available,In Extended Support,2025-11-13,Year 1,$292.00
DEV,epportalrdsonboarding-serverlessrdsclusterf408865e-n-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,fivetran-test-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,gpt1x7q2emta1v,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,guilddataproductintegrati-serverlessv1cluster04019-z-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,guild-export-service-rds-instance-pssqldbinstance-rewyiwti2zmu,postgres,12.22,db.t3.medium,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,model-m-academic-aurora-pg-cluster-development-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,model-m-academic-aurora-pg-cluster-stage-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,model-m-development-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,model-m-development-2,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,nc-walmart-event-consumer-service-aurora-pg-cluster-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,pathway-service-aurora-pg-cluster-dev-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,pcs-db-serverless-v2-serverlessv2instance-cnuggafzawiq,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,platform-eligibility-db-dev-instance-a,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,sample-serverless-app-aurora-pg-cluster-development-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,sample-serverless-service-aurora-pg-cluster-developm-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,tonic-metadata-database-pre-migration-cluster-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,tonic-metadata-database-serverless-v2,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,tonic-poc-destination-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,transaction-service-development,aurora-postgresql,12.22,db.r4.large,2,available,In Extended Support,2024-11-14,Year 2,$292.00
DEV,tuition-assistance-tao-tonic-playground-database-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,upgrade-test-db-cluster-instance-1,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
DEV,user-profile-service-development,aurora-postgresql,11.21,db.r5.large,2,available,In Extended Support,2023-11-09,Year 3,$292.00
STAGE,academic-partner-service-clusterinstance1bd35945f-wmlikxdszuux,aurora-postgresql,13.20,db.serverless,1,available,In Extended Support,2025-11-13,Year 1,$73.00
